year_manufactured,brand,model,km_tra,fuel,trans,rto,emi,sale_price
2022,Renault,Kiger,16180,Petrol,Manual,Madhya Pradesh,7811.0,442000.0
2021,Maruti,S PRESSO,66800,CNG,Manual,Madhya Pradesh,6708.0,380000.0
2016,Honda,Amaze,92676,Diesel,Manual,Telangana,8295.0,315000.0
2018,Mahindra,Kuv100,68537,Diesel,Manual,Haryana,14694.0,312000.0
2022,Jeep,MERIDIAN,39739,Diesel,Auto,Maharashtra,40221.0,2349000.0
2015,Maruti,Swift Dzire,98682,Petrol,Manual,Gujarat,9365.0,356000.0
2018,Datsun,Redi Go,85956,Petrol,Manual,Kerala,2630.0,149000.0
2021,Volkswagen,Polo,32415,Petrol,Auto,Maharashtra,12487.0,707000.0
2018,Honda,WR-V,66531,Petrol,Manual,Gujarat,8067.0,457000.0
2022,KIA,SONET,82623,Diesel,Auto,Karnataka,16095.0,940000.0
2017,Hyundai,Grand i10,28009,Petrol,Manual,Maharashtra,8093.0,414000.0
2016,Maruti,Wagon R 1.0,9487,Petrol,Manual,Maharashtra,6571.0,295000.0
2018,Maruti,Baleno,77261,Petrol,Manual,Karnataka,9868.0,559000.0
2021,Nissan,MAGNITE,43428,Petrol,Manual,Haryana,7539.0,427000.0
2019,Maruti,Baleno,58169,Petrol,Manual,Maharashtra,8348.0,473000.0
2015,Hyundai,Grand i10,42243,Petrol,Manual,Maharashtra,8796.0,334000.0
2021,Volkswagen,Vento,69461,Petrol,Auto,Gujarat,9079.0,514000.0
2020,Hyundai,NEW SANTRO,34041,Petrol,Manual,Telangana,6955.0,394000.0
2014,Hyundai,i20,51112,Petrol,Manual,Haryana,8475.0,255000.0
2017,Honda,Jazz,124203,Petrol,Manual,Kerala,10403.0,468000.0
2017,Hyundai,Creta,125862,Petrol,Manual,Kerala,12902.0,580000.0
2019,Nissan,Kicks,98840,Diesel,Manual,Rajasthan,8828.0,500000.0
2021,KIA,SONET,67346,Diesel,Auto,Karnataka,14109.0,824000.0
2020,Renault,TRIBER,81301,CNG,Manual,Punjab,8803.0,499000.0
2017,Maruti,IGNIS,86133,Petrol,Manual,Gujarat,4567.0,234000.0
2020,Toyota,Glanza,56997,Petrol,Manual,Delhi,8496.0,481000.0
2024,KIA,SONET,10933,Petrol,Auto,Maharashtra,21831.0,1275000.0
2019,Maruti,Ciaz,94150,Petrol,Auto,Maharashtra,9423.0,534000.0
2021,Skoda,Octavia,94384,Petrol,Auto,Gujarat,24568.0,1435000.0
2017,Ford,Ecosport,79601,Diesel,Manual,Gujarat,9271.0,417000.0
2013,Hyundai,i10,63448,Petrol,Manual,Maharashtra,8285.0,176000.0
2022,Toyota,Innova Crysta,68122,Diesel,Manual,Maharashtra,34074.0,1990000.0
2016,Maruti,Baleno,88321,CNG,Manual,Maharashtra,14440.0,435000.0
2018,Tata,Tiago,39282,Petrol,Auto,Kerala,7022.0,398000.0
2021,Nissan,MAGNITE,76368,Petrol,Auto,Haryana,9007.0,510000.0
2022,Volkswagen,TAIGUN,55492,Petrol,Auto,Gujarat,17485.0,1021000.0
2018,Mahindra,XUV500,118011,Diesel,Manual,Telangana,18481.0,850000.0
2019,Honda,Amaze,39777,Petrol,Manual,Telangana,8809.0,499000.0
2019,Maruti,Baleno,12750,Petrol,Manual,Karnataka,10415.0,590000.0
2021,Maruti,New Wagon-R,11098,Petrol,Auto,West Bengal,7591.0,430000.0
2021,Volkswagen,TAIGUN,39135,Petrol,Auto,Maharashtra,20975.0,1225000.0
2019,Mahindra,Scorpio,97453,Diesel,Manual,Uttar Pradesh,21403.0,1250000.0
2020,Maruti,S PRESSO,108430,CNG,Manual,Madhya Pradesh,8230.0,370000.0
2018,Mercedes,Benz GLE COUPE,35651,Petrol,Auto,Maharashtra,95458.0,5575000.0
2019,Mahindra,XUV300,137766,Petrol,Manual,Gujarat,12500.0,562000.0
2020,Maruti,XL6,74374,Petrol,Auto,Karnataka,15349.0,896000.0
2023,Tata,NEXON,19428,Petrol,Auto,West Bengal,18676.0,1091000.0
2022,Renault,TRIBER,29516,Petrol,Manual,Telangana,10415.0,590000.0
2020,Honda,Amaze,83828,Petrol,Manual,Maharashtra,8008.0,454000.0
2020,KIA,SELTOS,47476,Petrol,Auto,Maharashtra,19263.0,1125000.0
2016,Maruti,Alto 800,80201,Petrol,Manual,Tamil Nadu,5138.0,231000.0
2020,MG,HECTOR PLUS,40546,Petrol,Auto,Kerala,19225.0,1123000.0
2018,Tata,NEXON,55956,Petrol,Manual,Maharashtra,9006.0,510000.0
2021,Renault,TRIBER,37725,Petrol,Manual,Gujarat,7803.0,442000.0
2019,Renault,Kwid,32953,Petrol,Manual,Gujarat,4881.0,277000.0
2015,Volkswagen,Vento,45326,Petrol,Manual,Maharashtra,7856.0,298000.0
2016,Mercedes,Benz E Class,62468,Diesel,Auto,Maharashtra,33082.0,1280000.0
2020,MG,HECTOR PLUS,78476,Petrol,Auto,Telangana,20290.0,1185000.0
2019,Hyundai,VENUE,75829,Petrol,Auto,Uttar Pradesh,11243.0,637000.0
2020,Maruti,Baleno,36850,Petrol,Auto,Karnataka,11654.0,660000.0
2017,Maruti,Alto 800,70340,Petrol,Manual,Gujarat,4594.0,235000.0
2023,Hyundai,GRAND I10 NIOS,14231,Petrol,Manual,Haryana,9548.0,541000.0
2013,Maruti,Swift Dzire,121170,Diesel,Manual,Karnataka,27987.0,315000.0
2023,KIA,SONET,60674,Petrol,Manual,Uttar Pradesh,14212.0,830000.0
2019,Maruti,Ertiga,92458,Petrol,Manual,Bihar,12354.0,700000.0
2019,Hyundai,GRAND I10 NIOS,55343,Petrol,Auto,Karnataka,7838.0,444000.0
2017,Tata,TIGOR,91995,Petrol,Manual,Karnataka,7038.0,360000.0
2018,Maruti,Wagon R 1.0,42943,Petrol,Manual,Maharashtra,6161.0,349000.0
2019,Mahindra,MARAZZO,69853,Diesel,Manual,Rajasthan,11322.0,641000.0
2017,Ford,Ecosport,97829,Diesel,Manual,Karnataka,13371.0,601000.0
2012,Hyundai,i10,62134,Petrol,Manual,Karnataka,19619.0,221000.0
2022,Skoda,SLAVIA,39196,Petrol,Manual,Delhi,14336.0,837000.0
2015,Toyota,Etios Liva,43686,Petrol,Manual,Gujarat,7972.0,303000.0
2018,Jeep,Compass,100566,Diesel,Manual,Maharashtra,16521.0,743000.0
2020,Skoda,Rapid,78364,Petrol,Manual,Maharashtra,9226.0,523000.0
2019,Honda,City,110700,Petrol,Auto,Maharashtra,15308.0,688000.0
2016,Maruti,Celerio,57294,Petrol,Auto,Telangana,7067.0,318000.0
2014,Hyundai,Grand i10,55667,Petrol,Manual,Karnataka,9535.0,287000.0
2016,Hyundai,Grand i10,54873,Petrol,Manual,Karnataka,8764.0,394000.0
2017,Tata,Tiago,55236,Petrol,Manual,Uttarakhand,6647.0,340000.0
2014,Hyundai,Xcent,94087,Petrol,Manual,Kerala,8138.0,245000.0
2018,Maruti,Dzire,17406,Petrol,Manual,Karnataka,10016.0,567000.0
2021,KIA,SONET,34880,Diesel,Manual,Karnataka,15670.0,915000.0
2020,Maruti,New Wagon-R,71689,CNG,Manual,Maharashtra,7608.0,431000.0
2014,Renault,Scala,95056,Petrol,Auto,Maharashtra,8074.0,243000.0
2020,Maruti,Baleno,96028,Petrol,Manual,Haryana,8107.0,459000.0
2016,Mahindra,TUV300,81481,Diesel,Manual,West Bengal,10533.0,400000.0
2018,Skoda,Rapid,75807,Diesel,Manual,Tamil Nadu,11670.0,597000.0
2025,Mahindra,XEV 9e,6187,Electric,Auto,Maharashtra,47087.0,2750000.0
2018,Hyundai,Grand i10,86919,CNG,Auto,Gujarat,10410.0,468000.0
2018,Maruti,Wagon R 1.0,27836,Petrol,Manual,Maharashtra,5543.0,314000.0
2019,Maruti,Baleno,56774,Petrol,Manual,Karnataka,9778.0,554000.0
2015,Hyundai,Elite i20,63572,Petrol,Manual,Maharashtra,9852.0,374000.0
2014,Hyundai,Grand i10,72604,Petrol,Manual,Telangana,10396.0,313000.0
2017,Maruti,S Cross,94297,Diesel,Manual,Karnataka,13199.0,593000.0
2017,BMW,5 Series,69490,Petrol,Auto,Maharashtra,49013.0,2575000.0
2019,Maruti,S PRESSO,42450,Petrol,Auto,West Bengal,5822.0,330000.0
2018,Hyundai,Grand i10,66773,Petrol,Manual,Gujarat,7194.0,408000.0
2021,Tata,TIGOR,51686,Petrol,Manual,Karnataka,8657.0,490000.0
2022,Hyundai,GRAND I10 NIOS,14118,Petrol,Auto,Karnataka,10687.0,605000.0
2018,Hyundai,Grand i10,111736,Petrol,Manual,Gujarat,7469.0,336000.0
2023,KIA,CARENS,16063,Diesel,Auto,Maharashtra,28081.0,1640000.0
2020,Maruti,Dzire,26604,Petrol,Manual,Madhya Pradesh,9797.0,555000.0
2018,Honda,WR-V,36420,Petrol,Manual,West Bengal,7944.0,450000.0
2021,MG,HECTOR,61094,Petrol,Auto,Gujarat,16940.0,989000.0
2016,Maruti,Swift,98776,Petrol,Manual,Maharashtra,7439.0,334000.0
2017,Hyundai,Xcent,69046,Petrol,Manual,Gujarat,7448.0,381000.0
2015,Jaguar,XF,36442,Petrol,Auto,Maharashtra,34245.0,1325000.0
2022,MG,ASTOR,65670,Petrol,Auto,Gujarat,15838.0,925000.0
2014,Tata,Zest,33924,Petrol,Manual,Kerala,6111.0,184000.0
2024,Toyota,Urban Cruiser Taisor,9383,Petrol,Auto,Uttar Pradesh,17550.0,1025000.0
2018,Tata,Tiago,10694,Petrol,Auto,Karnataka,7965.0,451000.0
2016,Datsun,Redi Go,63052,Petrol,Manual,Kerala,3473.0,156000.0
2024,Hyundai,EXTER,27625,Petrol,Auto,Uttar Pradesh,12713.0,720000.0
2017,Hyundai,Elite i20,22932,Petrol,Manual,West Bengal,8007.0,410000.0
2017,Maruti,Swift,56556,Diesel,Manual,Karnataka,11684.0,525000.0
2020,Tata,NEXON,27363,Petrol,Manual,Delhi,8294.0,470000.0
2020,Hyundai,GRAND I10 NIOS,70161,Petrol,Auto,Karnataka,9472.0,537000.0
2018,Tata,NEXON,94704,Petrol,Auto,Maharashtra,9734.0,551000.0
2023,Maruti,Swift,44231,Petrol,Auto,Bihar,9709.0,550000.0
2022,Skoda,SLAVIA,68593,Petrol,Manual,Gujarat,15121.0,883000.0
2023,Tata,Tiago,31507,Petrol,Manual,Madhya Pradesh,9798.0,555000.0
2019,MG,HECTOR,115634,Petrol,Auto,Telangana,19025.0,875000.0
2023,Toyota,URBAN CRUISER HYRYDER,60430,Hybrid,Auto,Maharashtra,29108.0,1700000.0
2018,Hyundai,Elite i20,41039,Petrol,Auto,Karnataka,9307.0,527000.0
2018,Renault,Kwid,47085,Petrol,Manual,West Bengal,2754.0,156000.0
2014,Hyundai,Xcent,68104,Petrol,Manual,Haryana,9058.0,273000.0
2017,Hyundai,Verna,51750,Petrol,Manual,Delhi,9636.0,493000.0
2016,Hyundai,Creta,54193,Petrol,Manual,Delhi,10731.0,482000.0
2016,Honda,City,41770,Petrol,Manual,Maharashtra,10613.0,477000.0
2018,Honda,Amaze,100226,Diesel,Manual,West Bengal,10010.0,450000.0
2022,Maruti,S Cross,69882,Petrol,Manual,Haryana,10072.0,571000.0
2019,KIA,SELTOS,54013,Petrol,Auto,West Bengal,13769.0,780000.0
2020,Maruti,Dzire,100581,Petrol,Manual,Uttar Pradesh,11723.0,527000.0
2021,Nissan,MAGNITE,102983,Petrol,Auto,West Bengal,12613.0,567000.0
2017,Datsun,Redi Go,124743,Petrol,Manual,Kerala,2669.0,120000.0
2022,Skoda,SLAVIA,75166,Petrol,Manual,Rajasthan,13156.0,745000.0
2017,Honda,Brio,98398,Petrol,Manual,Gujarat,6061.0,310000.0
2019,Hyundai,VENUE,51469,Petrol,Manual,Uttar Pradesh,9478.0,537000.0
2017,Renault,Duster,140934,Diesel,Manual,Kerala,9587.0,431000.0
2021,Maruti,Swift,3791,Petrol,Manual,Gujarat,9356.0,530000.0
2019,Hyundai,Elite i20,49766,Petrol,Manual,Delhi,7692.0,436000.0
2015,Hyundai,Elite i20,82602,Petrol,Manual,Maharashtra,7005.0,266000.0
2015,Mercedes,Benz CLS Class,31794,Diesel,Auto,Maharashtra,83484.0,2550000.0
2018,Tata,NEXON,93528,Diesel,Manual,Karnataka,10282.0,526000.0
2016,Maruti,Alto K10,45176,Petrol,Manual,Haryana,5033.0,226000.0
2022,Tata,NEXON,87846,Petrol,Manual,West Bengal,10146.0,575000.0
2023,Mahindra,Thar,21265,Petrol,Auto,Uttar Pradesh,21852.0,1276000.0
2017,Skoda,Kodiaq,60132,Diesel,Auto,Maharashtra,35875.0,1650000.0
